name,docket,claim
Ex parte Milligan,,The government can make laws against practices that are part of religious beliefs.
Ex parte Milligan,,"You are free to believe anything, but you must follow laws that regulate actions."
Slaughter-House Cases,,"The Fourteenth Amendment only applies to actions by government officials, not by private businesses or individuals."
Slaughter-House Cases,,The Thirteenth Amendment only bans slavery and does not cover other types of discrimination by private companies.
Slaughter-House Cases,,States have the power to create laws about discrimination by private businesses when the federal government lacks constitutional authority to do so.
Munn v. Illinois,,"Federal antitrust laws only apply to businesses that move goods between states, not to those that produce goods within a single state."
Munn v. Illinois,,"Manufacturing is not considered part of interstate commerce, so federal antitrust laws do not cover it."
Munn v. Illinois,,Companies that only produce goods in one state are not subject to federal antitrust laws.
Reynolds v. United States,,Laws requiring separate facilities for different races are allowed if the facilities are equal.
Reynolds v. United States,,The Constitution does not require that all races share the same public facilities.
Reynolds v. United States,,Separating people by race does not mean one race is considered inferior under the law.
The Civil Rights Cases,,The government can set limits on how many hours people work if there's a reasonable justification for those limits.
The Civil Rights Cases,,"When someone challenges a law about work hours, they must prove the law has no reasonable purpose."
United States v. E. C. Knight Company,675,States can limit women's work hours to protect their health related to childbearing.
United States v. E. C. Knight Company,675,Laws that set different work hour limits for women than for men are allowed when the reason is health concerns from childbearing.
Plessy v. Ferguson,210,Police need a warrant to search a person's home.
Plessy v. Ferguson,210,Evidence found during a search without a warrant cannot be used in court.
Plessy v. Ferguson,210,Police must return items taken from a home without a warrant.
Lochner v. New York,292,Congress cannot regulate manufacturing or production that happens entirely within a single state under the Commerce Clause.
Lochner v. New York,292,The Tenth Amendment reserves all powers not granted to the federal government by the Constitution to the states or the people.
Lochner v. New York,292,Laws regulating child labor do not violate the Fifth Amendment because they do not involve the government taking private property without compensation.
Muller v. Oregon,107,"During wartime, the government can restrict speech that creates an immediate threat to national security."
Muller v. Oregon,107,The First Amendment protects criticism of government policies during war unless the speech poses an immediate danger to public safety.
Muller v. Oregon,107,Speech that encourages people to stop producing military supplies is not protected by the First Amendment if it would immediately harm the country's defense.
Muller v. Oregon,107,The government can punish speech intended to disrupt military operations during a conflict when there is an immediate risk of harm.
Weeks v. United States,461,Speech that is likely to cause immediate and serious harm is not protected by the First Amendment.
Weeks v. United States,461,"During wartime, the government can limit speech that poses a real threat to military efforts."
Weeks v. United States,461,Speech that directly encourages people to break the law with immediate consequences is not protected by the First Amendment.
Hammer v. Dagenhart,704,Parents have the right to choose private or religious schools for their children instead of public schools.
Hammer v. Dagenhart,704,States cannot require all children to attend public schools exclusively.
Hammer v. Dagenhart,704,The Constitution protects parents' right to decide how their children are educated.
Abrams v. United States,316,The First Amendment does not protect speech that directly advocates violent overthrow of the government.
Abrams v. United States,316,State governments must follow the same free speech rules as the federal government because of the First Amendment's application to states.
Abrams v. United States,316,Speech that directly calls for violent overthrow of the government can be punished even if it does not lead to immediate action.
Schenck v. United States,437,Wiretapping phone calls without physically entering a home does not violate the Fourth Amendment.
Schenck v. United States,437,The Fifth Amendment does not stop courts from using someone's own voluntary words as evidence.
Schenck v. United States,437,Courts cannot exclude evidence just because it was obtained unethically.
Pierce v. Society of Sisters,583,"When someone is charged with a crime that could result in the death penalty, they must be given enough time to find a lawyer and prepare their defense."
Pierce v. Society of Sisters,583,"Lawyers representing people facing the death penalty must actively work with their clients to prepare a defense, not just show up in court without doing any real work."
Gitlow v. New York,19,"The government cannot stop a newspaper from publishing information before it comes out, except in very specific cases like when the content is obscene, incites violence, or reveals military secrets."
Gitlow v. New York,19,Laws that let the government shut down a newspaper for publishing defamatory or scandalous material before it's published are unconstitutional.
Gitlow v. New York,19,"The government can take legal action against a newspaper after it publishes something illegal, but cannot prevent the publication from happening in the first place."
Olmstead v. United States,493,Federal tax money cannot be used to regulate activities that are the responsibility of state governments.
Olmstead v. United States,493,Federal spending must be for the general welfare and cannot be used to control matters handled by states.
Powell v. Alabama,98,"When Congress gives someone the power to make regulations, it must also provide clear instructions on how to make them."
Powell v. Alabama,98,Laws that allow government officials to create rules without any guidance are not allowed by the Constitution.
Powell v. Alabama,98,Congress must explain what the regulations should aim to do when it gives someone the power to make them.
Powell v. Alabama,98,Congress must set specific boundaries on what the regulations can include when it delegates that power.
Near v. Minnesota ex rel. Olson,91,Congress can give the President more authority to handle international relations than domestic issues without violating the Constitution.
Near v. Minnesota ex rel. Olson,91,"The President is the only person who can represent the United States in foreign affairs, so Congress can let the President make decisions about those matters without detailed instructions."
United States v. Butler,401,"Congress can regulate activities that have a significant effect on trade between states, even if the effect is not direct."
United States v. Butler,401,Congress cannot regulate activities that have only a minor or remote effect on trade between states.
United States v. Butler,401,"When many small activities together affect trade between states, Congress can regulate them all even if each one seems unimportant on its own."
A. L. A. Schechter Poultry Corporation v. United States,854,States can set minimum wages for women to protect their health.
A. L. A. Schechter Poultry Corporation v. United States,854,Employers must pay women the state minimum wage even if the worker agrees to less.
A. L. A. Schechter Poultry Corporation v. United States,854,The Constitution allows states to require minimum wages for women to ensure safe working conditions.
United States v. Curtiss-Wright Export Corporation,98,Not all rights in the Bill of Rights apply to state governments; only those the Supreme Court has said are fundamental.
United States v. Curtiss-Wright Export Corporation,98,The Supreme Court decides which Bill of Rights protections apply to states by determining if they are essential for fair trials.
United States v. Curtiss-Wright Export Corporation,98,"If the Supreme Court has not required states to follow the double jeopardy rule, then state courts can retry a person for the same crime."
National Labor Relations Board v. Jones & Laughlin Steel Corporation,419,The Second Amendment only protects the right to bear arms for militia service.
National Labor Relations Board v. Jones & Laughlin Steel Corporation,419,Firearms not used for militia service are not protected by the Second Amendment.
National Labor Relations Board v. Jones & Laughlin Steel Corporation,419,The government can legally restrict ownership of weapons not related to militia use.
West Coast Hotel Company v. Parrish,293,Federal laws can regulate activities within a state if they have a big impact on trade between states.
West Coast Hotel Company v. Parrish,293,Congress can pass laws to stop labor practices that hurt trade between states.
West Coast Hotel Company v. Parrish,293,States can't stop Congress from regulating trade between states.
Palko v. Connecticut,135,The government cannot force people to say or do things that express beliefs they do not hold.
Palko v. Connecticut,135,People cannot be punished for refusing to participate in government-required actions that conflict with their religious beliefs.
United States v. Miller,696,Laws requiring permits to solicit funds cannot give government officials the power to decide which causes are religious.
United States v. Miller,696,Speech that is offensive but does not threaten immediate physical harm is protected by the First Amendment.
United States v. Miller,696,The government cannot suppress speech simply because it might anger people; it must show the speech poses a direct threat of violence.
United States v. Darby,82,Personal insults that are likely to provoke a physical fight are not protected by the First Amendment.
United States v. Darby,82,States can pass laws to stop speech that causes immediate violence.
United States v. Darby,82,Speech that doesn't share ideas and is only meant to insult is not protected by the First Amendment.
Minersville School District v. Gobitis,690,The government must provide a lawyer for anyone charged with a crime who cannot afford one.
Minersville School District v. Gobitis,690,Denying a lawyer to someone because they are poor violates the Constitution.
Minersville School District v. Gobitis,690,"The right to a lawyer in criminal cases applies to all defendants, no matter their income."
Cantwell v. Connecticut,632,"Federal regulations can cover local activities that, when combined with similar activities nationwide, significantly affect the national market."
Cantwell v. Connecticut,632,Federal law can regulate activities that don't involve selling goods if their total effect across the country impacts the national market.
Cantwell v. Connecticut,632,"Even if each person's contribution to the national market is small, federal law can regulate their activities if many people doing the same would have a large overall impact."
Chaplinsky v. New Hampshire,255,Public schools cannot require students to salute the flag.
Chaplinsky v. New Hampshire,255,The government cannot punish people for refusing to salute the flag based on their beliefs.
Chaplinsky v. New Hampshire,255,People have the right to refuse to participate in mandatory patriotic rituals without penalty.
Betts v. Brady,837,Congress can delegate authority to agencies only if the law clearly states what the agency is allowed to do.
Betts v. Brady,837,Laws must provide a way for people to ask courts to review government decisions to ensure fairness.
Wickard v. Filburn,59,"The government cannot force citizens to move or be detained because of their race, even during a war."
Wickard v. Filburn,59,Using race as the main reason to restrict people's rights violates the Constitution.
Wickard v. Filburn,59,National security concerns do not allow the government to target citizens by race.
Wickard v. Filburn,59,"All U.S. citizens are protected from racial discrimination by the Constitution, no matter the situation."
West Virginia State Board of Education v. Barnette,591,"Government can pay for school transportation for all students, regardless of school type, as long as the money is given to parents and not the schools."
West Virginia State Board of Education v. Barnette,591,"The First Amendment allows government to fund services that help everyone equally, even if some religious groups benefit indirectly."
West Virginia State Board of Education v. Barnette,591,"The government cannot give money directly to religious schools for religious activities, but can help parents with secular needs like transportation."
Yakus v. United States,374,Courts cannot enforce housing agreements that prevent someone from living in a home because of their race.
Yakus v. United States,374,"Private individuals can make agreements about property that include racial restrictions, but those agreements cannot be enforced by any court."
Korematsu v. United States,22,Public schools cannot hold religious classes during school hours on school property.
Korematsu v. United States,22,Government cannot use public schools to support religious activities.
Everson v. Board of Education of the Township of Ewing,52,States do not have to throw out evidence that police obtained illegally.
Everson v. Board of Education of the Township of Ewing,52,Police departments can address illegal searches by disciplining officers or through public oversight instead of keeping evidence out of court.
Shelley v. Kraemer,72,Public universities cannot refuse admission to students because of their race.
Shelley v. Kraemer,72,Separate colleges for different races in higher education are illegal because they cannot provide equal quality.
Shelley v. Kraemer,72,Separating students by race in college limits their ability to gain the professional connections needed for success.
"Illinois ex rel. McCollum v. Board of Ed. of School Dist. No. 71, Champaign County",90,It is illegal to actively promote the violent overthrow of the U.S. government.
"Illinois ex rel. McCollum v. Board of Ed. of School Dist. No. 71, Champaign County",90,Teaching political ideas about overthrowing the government is protected by the First Amendment.
"Illinois ex rel. McCollum v. Board of Ed. of School Dist. No. 71, Champaign County",90,The government can punish speech that promotes violent overthrow even if the overthrow is unlikely to succeed.
"Illinois ex rel. McCollum v. Board of Ed. of School Dist. No. 71, Champaign County",90,Agreeing with others to promote violent overthrow of the government can be punished by law.
Wolf v. Colorado,17,The president cannot take control of private businesses without specific approval from Congress.
Wolf v. Colorado,17,The president's role as Commander in Chief does not allow intervention in domestic labor disputes.
Wolf v. Colorado,17,"The president's job is to enforce existing laws, not to create new ones."
Sweatt v. Painter,44,Trying a defendant before a jury that excludes people of their race or ethnicity is unconstitutional.
Sweatt v. Painter,44,"The Constitution protects all racial and ethnic groups from discrimination in jury selection, not just Black and white people."
Sweatt v. Painter,44,"Evidence of discrimination against a specific ethnic group, like separate facilities, shows that group is protected by the Constitution."
Sweatt v. Painter,44,Systematically excluding people from juries based on race or ethnicity violates the Constitution.
Dennis v. United States,336,Public schools cannot legally separate students based on race.
Dennis v. United States,336,Separate schools for different races are illegal even if they are equal in quality.
Dennis v. United States,336,Segregating students by race in public schools is against the law because it harms children's education and self-esteem.
Youngstown Sheet & Tube Company v. Sawyer,744,Federal public schools cannot keep students apart based on race.
Youngstown Sheet & Tube Company v. Sawyer,744,State public schools cannot keep students apart based on race.
Hernandez v. Texas,406,Government cannot require racial segregation on public transportation systems.
Hernandez v. Texas,406,Having separate seating for different races on buses is unconstitutional even if the facilities are equal.
Hernandez v. Texas,406,The Constitution requires that all people have equal access to public transportation without being separated by race.
Hernandez v. Texas,406,Laws requiring racial segregation in public transportation are unconstitutional because they violate the Constitution's rule that everyone must be treated equally.
Brown v. Board of Education of Topeka (1),1,Prisons can deny access to publications that threaten security or incite violence.
Brown v. Board of Education of Topeka (1),1,Prison officials must prove a publication is dangerous before banning it.
Brown v. Board of Education of Topeka (1),1,Restrictions on reading materials must be the minimum needed to keep the prison safe.
Brown v. Board of Education of Topeka (1),1,Prisons cannot ban publications just because of their political or philosophical content.
Bolling v. Sharpe,8,"When robbing someone for drugs or drug money, the government does not need to prove the specific act affected interstate commerce. It's sufficient that the drugs or money are part of a larger drug trade that crosses state lines."
Bolling v. Sharpe,8,"Federal law treats robberies involving drugs or drug proceeds as affecting interstate commerce, even if the robbery happened within a single state, because drug dealing as a whole affects interstate commerce."
Bolling v. Sharpe,8,"For such cases, the government only needs to show the stolen items were drugs or drug proceeds, not that the robbery directly impacted interstate commerce."
Bolling v. Sharpe,8,The law does not require proving the robbery was part of a business; just taking drugs or drug money is enough for federal jurisdiction.
Gayle v. Browder,342,RICO applies to crimes committed outside the U.S. when the underlying criminal acts are intended to have international reach.
Gayle v. Browder,342,"To sue under RICO in civil court, you must have been harmed within the United States."
Gayle v. Browder,342,RICO only applies to foreign business operations that directly affect U.S. commerce.
Thornburgh v. Abbott,87-1344 ,"To appeal a case to the Supreme Court, a person must prove they were personally harmed by the law in question."
Thornburgh v. Abbott,87-1344 ,"The harm must be directly caused by the law being challenged, not something else."
Thornburgh v. Abbott,87-1344 ,A court decision must be able to fix the harm for the person to have standing.
Thornburgh v. Abbott,87-1344 ,A person cannot claim standing just because they are a government official or have a general concern about the law.
Taylor v. United States,14-6166,An arbitration clause that is extremely unfair and one-sided cannot be enforced.
Taylor v. United States,14-6166,Arbitration clauses hidden in the fine print of a contract may be too unfair to enforce.
Taylor v. United States,14-6166,"When a company has much more power than the employee, terms that heavily favor the company may be too unfair to enforce."
Taylor v. United States,14-6166,Arbitration clauses that limit how much evidence can be collected during the process may be too unfair to enforce.
RJR Nabisco v. The European Community,15-138,"When a court uses a higher sentence range than it should, the mistake automatically makes the defendant's sentence too long."
RJR Nabisco v. The European Community,15-138,A defendant does not need to prove anything else beyond the mistake to show it made their sentence too long.
Wittman v. Personhuballah,14-1504,"Evidence from a lawful arrest based on a valid warrant can be used in court even if the warrant was discovered during an illegal stop, as long as the warrant existed before the stop."
Wittman v. Personhuballah,14-1504,A valid arrest warrant that existed before an illegal stop weakens the connection between the stop and any evidence found during the arrest.
Wittman v. Personhuballah,14-1504,Evidence is only excluded from trial if police misconduct was serious; minor mistakes do not require suppression.
Wittman v. Personhuballah,14-1504,"When deciding if evidence should be excluded, courts look at how close in time the stop and arrest were, other events that happened between them, and how serious the police misconduct was."
"MHN Government Services, Inc., and Managed Health Network, Inc. v. Zaborowski, et al.",14-1458,Federal courts cannot release someone from prison through a habeas petition unless the Supreme Court has already said the state court's action was unconstitutional.
"MHN Government Services, Inc., and Managed Health Network, Inc. v. Zaborowski, et al.",14-1458,Judges cannot convict someone based on assumptions about their motives unless the evidence clearly supports those assumptions.
"MHN Government Services, Inc., and Managed Health Network, Inc. v. Zaborowski, et al.",14-1458,"A person's right to a fair trial means they can only be convicted based on evidence presented in court, not the judge's guesses about their intentions."
Molina-Martinez v. United States,14-8913,"For a trust to be in federal court based on different states, the citizenship of both trustees and beneficiaries must be considered."
Molina-Martinez v. United States,14-8913,"A trust's citizenship for diversity jurisdiction includes all beneficiaries and trustees, not just the trustees."
Utah v. Strieff,14-1373,"Congress can pass a law that applies to a specific ongoing lawsuit and change the outcome, as long as the law changes the legal rules instead of directly telling the court what to decide."
Utah v. Strieff,14-1373,"Courts must apply new laws passed by Congress, even if those laws are written specifically for a single case, because making laws is Congress's responsibility."
Utah v. Strieff,14-1373,"It is constitutional for Congress to pass a law that affects a specific court case by altering the underlying legal standards, which does not violate the separation of powers."
Duncan v. Owens ,14-1516,Federal law requires that any change to a tribal reservation's boundaries must be explicitly stated in a congressional law.
Duncan v. Owens ,14-1516,Selling land within a reservation to non-tribal members does not reduce the reservation's size unless Congress clearly states that intention.
Duncan v. Owens ,14-1516,"If a federal law allows selling tribal land but does not mention changing the reservation's boundaries, the reservation remains the same size."
"Americold Realty Trust v. Conagra Foods, Inc., et al.",14-1382,Lawyers do not have to challenge evidence that was generally considered reliable at the time of the trial.
"Americold Realty Trust v. Conagra Foods, Inc., et al.",14-1382,"A lawyer's performance is judged based on what was known when the trial happened, not after."
"Americold Realty Trust v. Conagra Foods, Inc., et al.",14-1382,Lawyers don't have to look for hidden flaws in evidence that seemed trustworthy back then.
"Americold Realty Trust v. Conagra Foods, Inc., et al.",14-1382,It's not a failure in legal work to not question evidence that was trusted during the trial.
Bank Markazi v. Peterson,14-770,The National Park Service cannot regulate activities on non-federal land within national parks in Alaska.
Bank Markazi v. Peterson,14-770,"In Alaska, national parks include both federal and non-federal land, but only federal land is subject to National Park Service rules."
Bank Markazi v. Peterson,14-770,"State, tribal, and private land inside Alaska's national parks are not regulated by the National Park Service."
Nebraska v. Parker,14-1406,Government employers cannot demote public employees based on a mistaken belief that the employees supported a political candidate.
Nebraska v. Parker,14-1406,Public employees must prove that government employers acted with an improper motive to win a First Amendment case.
Nebraska v. Parker,14-1406,"The First Amendment protects public employees from government actions taken to suppress political activity, even if the activity did not actually occur."
Maryland v. Kulbicki,14-848,Judges cannot participate in appeals of cases they previously prosecuted.
Maryland v. Kulbicki,14-848,A judge who made key decisions like seeking the death penalty in a case must not take part in any appeals of that case.
Maryland v. Kulbicki,14-848,"A judge's participation in a group of judges deciding an appeal is unconstitutional if they were a prosecutor in the case, even if their vote didn't change the outcome."
Maryland v. Kulbicki,14-848,"The Constitution requires judges to step aside from cases they prosecuted to avoid any risk of bias, even without proof they were actually biased."
Sturgeon v. Frost,14-1209,The federal government alone controls the regulation of electricity sold between states.
Sturgeon v. Frost,14-1209,States cannot create rules that impact how electricity is sold to other states.
Sturgeon v. Frost,14-1209,Federal law takes priority over state laws for electricity sold between states.
Sturgeon v. Frost,14-1209,States can regulate local electricity use but not electricity sold to other states.
Heffernan v. City of Paterson,14-1280,It is not allowed to have a law that automatically imposes the death penalty for certain crimes without considering the specifics of each case.
Heffernan v. City of Paterson,14-1280,Judges and juries must consider the details of the crime and the defendant before sentencing someone to death.
Heffernan v. City of Paterson,14-1280,The death penalty cannot be required by law for a crime without allowing for individualized consideration.
Williams v. Pennsylvania,15-5040,Two government entities that get their power from the same source are treated as one for the purpose of preventing someone from being tried twice for the same crime.
Williams v. Pennsylvania,15-5040,The protection against being tried twice for the same crime applies when the prosecuting governments share the same source of authority.
Williams v. Pennsylvania,15-5040,"States and the federal government are separate for the protection against being tried twice for the same crime, but territories and the federal government are not."
Williams v. Pennsylvania,15-5040,Whether two governments are separate for the protection against being tried twice for the same crime depends on whether they have different sources of authority.
Williams v. Pennsylvania,15-5040,Prosecuting the same crime in two different courts is allowed only if the courts have different sources of authority.
"Hughes v. Talen Energy Marketing, LLC",14-614,"Federal law prohibits people convicted of misdemeanor domestic violence from possessing firearms, even if the conviction was based on reckless behavior."
"Hughes v. Talen Energy Marketing, LLC",14-614,A domestic violence conviction based solely on recklessness is covered by federal gun laws.
"Hughes v. Talen Energy Marketing, LLC",14-614,Federal law includes reckless domestic violence acts in the ban on gun ownership.
"Hughes v. Talen Energy Marketing, LLC",14-614,"Congress designed the federal gun ban to cover all domestic violence convictions, including those that only require recklessness, to ensure the law works across all states."
Fowler v. North Carolina,73-7031,States must give government agencies from other states the same legal protection from lawsuits as they give to their own agencies.
Fowler v. North Carolina,73-7031,States cannot require government agencies from other states to pay additional money as punishment if their own laws don't allow such payments for their own agencies.
Fowler v. North Carolina,73-7031,The Constitution says states cannot treat other states' government agencies in a hostile way in court cases.
Puerto Rico v. Sanchez Valle,15-108,Sex offenders must update their registration under SORNA when moving to a new address within the United States.
Puerto Rico v. Sanchez Valle,15-108,Sex offenders do not need to update their registration under SORNA when moving to a foreign country.
Puerto Rico v. Sanchez Valle,15-108,SORNA's registration update rules only apply to sex offenders living in the United States.
Voisine v. United States,14-10154,Police officers cannot be held personally responsible for money damages unless there was a prior court decision that clearly said their specific actions were illegal.
Voisine v. United States,14-10154,"For an officer's actions to be considered illegal, there must have been a previous court case with nearly identical facts that ruled those actions unlawful."
Voisine v. United States,14-10154,Courts must determine whether existing previous court decisions would have made it obvious to a reasonable officer that their actions were against the law.
Voisine v. United States,14-10154,"If there is no prior court case that directly matches the exact circumstances of an officer's actions, they are protected from being sued for damages."
Voisine v. United States,14-10154,"Officers cannot be held personally liable for damages if the law was not clearly defined for the specific situation they encountered, even if their actions seem unreasonable."
Franchise Tax Board of California v. Hyatt,14-1175,"Courts can increase patent infringement damages up to three times the original amount based on their judgment, but they are not required to follow a strict two-step test."
Franchise Tax Board of California v. Hyatt,14-1175,There is no legal rule that forces courts to use a specific two-part test when deciding whether to award higher damages for patent infringement.
Franchise Tax Board of California v. Hyatt,14-1175,"Judges must consider all relevant facts of a case when deciding if higher damages are appropriate, rather than applying a rigid checklist."
Franchise Tax Board of California v. Hyatt,14-1175,Higher damages for patent infringement are only meant for cases where the infringement was especially serious or reckless.
Franchise Tax Board of California v. Hyatt,14-1175,Whether an infringer sought legal advice before copying a patent does not automatically affect the decision to award higher damages.
Nichols v. United States,15-5238,"Even if a law has an exception for religious groups, it can still burden their religious freedom if the exception requires them to do something they oppose."
Nichols v. United States,15-5238,The government must show that a law restricting religious freedom is necessary for a very important reason and that there's no simpler way to achieve that reason.
Nichols v. United States,15-5238,"If the government can't prove a law is the simplest way to achieve its goal, then the law violates religious freedom protections."
Mullenix v. Luna,14-1143,"Transferring money to avoid paying debts can prevent the debt from being erased in bankruptcy, even if no false statements were made to the creditor."
Mullenix v. Luna,14-1143,"Bankruptcy law considers moving assets to hinder creditors as fraud, which is different from making false statements."
Mullenix v. Luna,14-1143,"If a debtor moves funds to make it harder for creditors to collect, the debt must still be paid after bankruptcy, regardless of whether the debtor lied about the debt."
Halo Electronics v. Pulse Electronics Inc.,14-1513,"Laws that restrict abortion access must actually improve health outcomes; otherwise, they are not allowed."
Halo Electronics v. Pulse Electronics Inc.,14-1513,"Courts must check real evidence about whether a law improves health safety, not just accept what the government says."
Halo Electronics v. Pulse Electronics Inc.,14-1513,"If a law causes many abortion clinics to close and makes it very hard for women to get abortions, it is not permitted."
Halo Electronics v. Pulse Electronics Inc.,14-1513,"Requirements for abortion clinics must directly help with safety; if they don't, they cannot be enforced."
Zubik v. Burwell,14-1418,"If a Federal Tort Claims Act claim is dismissed because it's not covered by the law, you can sue the individual government employees involved."
Zubik v. Burwell,14-1418,The rule that blocks lawsuits against government employees only applies when the original Federal Tort Claims Act claim was valid under the law.
Husky Electronics v. Ritz,15-145,The Sixth Amendment's right to a speedy trial only applies before a person is convicted or pleads guilty.
Husky Electronics v. Ritz,15-145,"After a guilty plea, the Sixth Amendment does not protect against delays in sentencing."
Husky Electronics v. Ritz,15-145,The Constitution's Due Process Clause can be used to challenge unreasonably long sentencing delays after a guilty plea.
Husky Electronics v. Ritz,15-145,"Courts check the length of the delay, why it happened, whether the person asked for a faster sentence, and any harm caused when deciding if a sentencing delay violates due process."
Whole Woman’s Health v. Hellerstedt,15-274,"U.S. territories cannot create their own debt restructuring laws if federal bankruptcy law prohibits such laws, even if the territories aren't eligible for federal bankruptcy protection."
Whole Woman’s Health v. Hellerstedt,15-274,Federal bankruptcy laws that restrict debt laws apply to U.S. territories unless Congress explicitly says otherwise.
Simmons v. Himmelreich,15-109,Inmates cannot skip the requirement to use official prison procedures before suing just because they thought they already did.
Simmons v. Himmelreich,15-109,"If official prison procedures aren't available, inmates are not required to use them before suing."
Betterman v. Montana,14-1457,"A company can be held liable under the False Claims Act if it submits a payment claim that states it followed certain rules but deliberately hides that it didn't, making the claim misleading."
Betterman v. Montana,14-1457,The law does not require the rules to be explicitly called 'conditions of payment'; the key is whether breaking the rule would affect payment decisions.
Puerto Rico v. Franklin California Tax-Free Trust,15-233,"It is legal for debt collectors to use a government agency's letterhead when collecting debts on behalf of that agency, as long as it accurately reflects their role."
Puerto Rico v. Franklin California Tax-Free Trust,15-233,"Federal law does not interfere with states' methods for collecting debts, including using appointed representatives with official letterhead."
Puerto Rico v. Franklin California Tax-Free Trust,15-233,Using government letterhead in debt collection letters is not misleading if it correctly states the collector is acting for the government agency.
Ross v. Blake,15-339,A defendant can receive attorney fees when a lawsuit is dismissed for not meeting required steps before filing.
Ross v. Blake,15-339,Courts can award attorney fees to a defendant even if the case was dismissed without deciding the actual claims.
Ross v. Blake,15-339,"Whether a defendant qualifies for attorney fees depends on whether they stopped the plaintiff from changing the legal relationship between them, not on the merits of the case."
Ross v. Blake,15-339,The law does not require a court to rule on the merits for a defendant to receive attorney fees.
"Universal Health Services, Inc. v. Escobar",15-7,A juror can be removed from a death penalty trial only if their views on the death penalty would prevent them from considering it as a possible sentence.
"Universal Health Services, Inc. v. Escobar",15-7,Federal courts can only reverse a state court's decision in a habeas case if the state court's ruling was so unreasonable that no reasonable person could have made it.
Sheriff v. Gillie,15-338,States cannot make it a crime to refuse a blood test if police don't have a warrant.
Sheriff v. Gillie,15-338,States can make it a crime to refuse a breath test even without a warrant.
CRST Van Expedited v. EEOC,14-1375,"Tribal court convictions that follow the Indian Civil Rights Act can be used to increase federal sentences for domestic violence, even if the person did not have a lawyer in tribal court."
CRST Van Expedited v. EEOC,14-1375,"The Sixth Amendment does not require tribal courts to provide lawyers, so tribal court convictions without a lawyer can be used in federal court for sentencing if they followed the Indian Civil Rights Act."
CRST Van Expedited v. EEOC,14-1375,"Federal law allows prior tribal court convictions to count toward harsher sentences for domestic violence if they were valid under the Indian Civil Rights Act, even if they wouldn't be valid in other courts."
CRST Van Expedited v. EEOC,14-1375,"The Indian Civil Rights Act provides the rules for tribal court convictions, and those convictions can be used in federal court for sentencing if they meet those rules."
White v. Wheeler,14-1372,A government agency's decision is subject to court review if it is the final decision of the agency and directly affects legal rights.
White v. Wheeler,14-1372,"When a government agency's determination prevents a person from using their property without permission, that determination has legal consequences and can be reviewed by a court."
Birchfield v. North Dakota,14-1468,A judge must step down from a case if the affidavit of bias includes enough specific facts to prove the bias exists.
Birchfield v. North Dakota,14-1468,A simple statement that a judge is biased without supporting facts does not require the judge to recuse.
Birchfield v. North Dakota,14-1468,The affidavit must provide details showing how the alleged bias applies to the specific case to be considered sufficient.
United States v. Bryant,15-420,"The right to be free from unreasonable searches and seizures applies throughout the entire criminal case, including while a person is waiting for trial."
United States v. Bryant,15-420,"If police arrest someone without a valid reason, that violation continues to be a problem under this right even after charges are filed."
United States v. Bryant,15-420,A person can challenge their detention under this right at any time during the case if the arrest lacked a good reason.
United States v. Bryant,15-420,"Claims about being held without proper justification during a criminal case are handled under the search and seizure rules, not general fairness rules."
"United States Army Corps of Engineers v. Hawkes Co., Inc.",15-290,"When deciding if government rules require compensation for restricting land use, adjacent parcels owned by the same person may be treated as one unit."
"United States Army Corps of Engineers v. Hawkes Co., Inc.",15-290,"Courts consider local land rules, physical features of the land, and its value when determining if multiple parcels should be combined."
"United States Army Corps of Engineers v. Hawkes Co., Inc.",15-290,State law alone cannot define which parcels are considered for compensation; other factors must be included.
"United States Army Corps of Engineers v. Hawkes Co., Inc.",15-290,"If government rules prevent using one parcel but it's part of a larger combined property owned by the same person, compensation might not be required."
Berger v. New York,460,States can sue the federal government if a federal policy forces them to spend money.
Berger v. New York,460,Federal agencies must allow the public to comment on new rules before making them official.
Berger v. New York,460,Federal agencies cannot make decisions that are unreasonable or without a good reason.
Berger v. New York,460,The President cannot create new immigration benefits for large groups without Congress first passing a law.
Manuel v. City of Joliet,14-9496,"In civil cases, judges may recall jurors after dismissal to correct a verdict error if there's no evidence they were influenced by outside information."
Manuel v. City of Joliet,14-9496,"This recall power applies only to civil cases, not criminal cases."
Manuel v. City of Joliet,14-9496,Judges can recall jurors to fix a verdict mistake without a new trial if it's a reasonable solution and doesn't violate any laws.
Manuel v. City of Joliet,14-9496,A judge must check that jurors haven't been exposed to anything that could affect their judgment before recalling them.
Murr v. Wisconsin,15-214,"When awarding attorney's fees in copyright cases, courts should consider how reasonable the losing party's legal arguments were, but this is not the only factor they can consider."
Murr v. Wisconsin,15-214,"Courts can award attorney's fees to the winning party in copyright cases even if the losing party's position was objectively reasonable, based on other relevant factors."
United States v. Texas,15-674,Federal appeals courts cannot review class certification decisions after plaintiffs have permanently ended their individual lawsuits because there is no case left for the court to decide.
United States v. Texas,15-674,"Courts can only hear cases where there is an active dispute between parties; if all claims are permanently dismissed, there is no dispute left for the court to resolve."
United States v. Texas,15-674,"Once all claims are permanently dismissed, the lawsuit is over, so appeals courts have no authority to review earlier decisions about class certification."
United States v. Texas,15-674,"Plaintiffs cannot permanently dismiss their claims to get an appeal of class certification decisions, as this would bypass the rules for when appeals are allowed."
